trial_index,time_elapsed,rt,response,avg_frame_time,center_x,center_y,note,correct
40,80235,[666],"[""s""]",16.66638333,250,150,101,FALSE
41,81243,"[637,638]","[""a"",""s""]",16.66684746,250,150,1100,TRUE
42,82252,"[461,461]","[""d"",""f""]",16.66706667,250,150,11,TRUE
43,83261,"[595,617,617]","[""f"",""a"",""d""]",16.6679322,250,150,1011,TRUE
44,84268,[463],"[""s""]",16.66686667,250,150,100,TRUE
45,85276,[622],"[""s""]",16.66676271,250,150,100,TRUE
46,86283,"[465,465]","[""d"",""f""]",16.66686441,250,150,11,TRUE
47,87285,"[376,400]","[""d"",""s""]",16.66736667,250,150,100,FALSE
48,88292,"[456,456]","[""s"",""f""]",16.66728814,250,150,101,TRUE
49,89300,"[467,467,488]","[""a"",""s"",""f""]",16.66577966,250,150,1101,TRUE
50,90302,"[409,409]","[""a"",""s""]",16.66688333,250,150,1100,TRUE
51,91307,"[577,577,598]","[""d"",""f"",""a""]",16.66608475,250,150,1011,TRUE
52,92317,[441],"[""a""]",16.66725424,250,150,1000,TRUE
53,93319,"[390,414]","[""d"",""s""]",16.66758333,250,150,10,FALSE
54,94324,"[462,462]","[""a"",""d""]",16.667,250,150,1010,TRUE
55,95332,"[434,457,457]","[""d"",""a"",""f""]",16.66710169,250,150,1101,FALSE
56,96335,[514],"[""s""]",16.66676667,250,150,100,TRUE
57,97339,"[470,470]","[""s"",""d""]",16.66694915,250,150,110,TRUE
58,98348,"[489,513,513]","[""a"",""d"",""f""]",16.66677966,250,150,1011,TRUE
59,99352,"[505,505]","[""a"",""f""]",16.66651667,250,150,1001,TRUE
60,100357,"[517,518,518]","[""a"",""d"",""f""]",16.6670678,250,150,1011,TRUE
61,101363,"[943,968]","[""a"",""f""]",16.66647458,250,150,110,FALSE
62,102369,"[785,785]","[""a"",""s""]",16.66555,250,150,11,FALSE
63,103372,"[701,723]","[""d"",""f""]",16.66725424,250,150,1100,FALSE
64,104380,[],[],16.66674576,250,150,1010,FALSE
65,105386,[128],"[""f""]",16.66783333,250,150,110,FALSE
66,106388,[],[],16.66747458,250,150,1001,FALSE
67,107395,[],[],16.66649153,250,150,1000,FALSE
68,108402,[],[],16.66716667,250,150,1000,FALSE
69,109404,[],[],16.66828814,250,150,10,FALSE
70,110412,[],[],16.66827119,250,150,11,FALSE
71,111419,[],[],16.6672,250,150,1110,FALSE
72,112428,"[481,482,482]","[""a"",""d"",""f""]",16.6670339,250,150,1011,TRUE
73,113436,[432],"[""d""]",16.66525,250,150,10,TRUE
74,114444,"[400,400]","[""d"",""f""]",16.66676271,250,150,11,TRUE
75,115451,"[386,474]","[""d"",""s""]",16.66557627,250,150,100,FALSE
76,116453,"[674,761,785,890]","[""a"",""s"",""d"",""f""]",16.66833333,250,150,101,FALSE
77,117460,"[929,929]","[""a"",""d""]",16.66820339,250,150,1010,TRUE
78,118468,"[617,617,617]","[""s"",""d"",""f""]",16.66867797,250,150,111,TRUE
79,119469,"[508,508,528]","[""d"",""f"",""s""]",16.66806667,250,150,111,TRUE
80,120476,[446],"[""d""]",16.66508475,250,150,10,TRUE
81,121485,"[403,425]","[""s"",""a""]",16.66754237,250,150,1100,TRUE
82,122486,"[455,455]","[""a"",""f""]",16.66703333,250,150,1001,TRUE
83,123492,"[567,567,567]","[""a"",""s"",""f""]",16.667,250,150,1101,TRUE
84,124494,"[640,912]","[""f"",""s""]",16.66837288,250,150,101,TRUE
85,125500,[],[],16.66722034,250,150,100,FALSE
